0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,
Year,Tms,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,D2P,XPM,FGM,Sfty,Pts,Pts/G,
1922,18,123,31,1,,3,7,3,168,,0,101,43,1,1240,9.1,0
1923,20,93,46,1,,7,5,,152,,0,101,76,6,1253,7.9,0
1924,18,113,64,2,,9,7,2,197,,0,138,69,6,1539,10.4,0
1925,20,120,86,3,2,9,15,9,244,,0,171,63,5,1834,8.9,0
1926,22,131,61,3,,17,11,3,226,,0,162,64,12,1734,7.6,0
1927,12,107,55,3,1,8,7,3,184,,0,102,23,16,1307,9.1,0
1928,10,78,66,3,1,,9,2,159,,0,85,7,3,1066,9.5,0
1929,12,98,79,3,2,3,5,1,191,,0,104,15,9,1313,9.5,0
1930,11,132,77,,2,1,11,3,226,,0,127,6,,1501,10.6,0
1931,10,97,57,4,1,1,7,5,172,,0,94,6,4,1152,9.9,0
1932,8,55,42,,,3,6,5,111,,0,76,6,8,776,8.2,0
1933,10,69,57,,,1,7,6,140,,0,115,36,6,1075,9.7,0
1934,11,101,56,,,2,5,1,165,,0,125,49,2,1266,10.8,0
1935,9,67,64,3,1,2,7,7,151,,0,117,43,3,1158,10.9,0
1936,9,77,67,2,,7,7,6,166,,0,136,48,4,1284,11.9,0
1937,10,67,90,2,1,8,13,6,187,,0,154,46,5,1424,12.9,0
1938,10,83,93,,,9,9,3,197,,0,163,41,5,1478,13.5,0
1939,10,102,99,2,1,8,8,4,224,,0,184,52,4,1692,15.4,0
1940,10,100,100,2,4,6,10,2,224,,0,189,42,5,1669,15.1,0
1941,10,114,99,8,3,6,10,5,245,,0,209,47,2,1824,16.5,0
1942,10,97,108,4,6,12,7,9,243,,0,218,33,3,1781,15.9,0
1943,10,85,114,1,2,3,8,10,223,,0,200,16,,1586,19.5,0
1944,11,118,117,3,3,4,10,2,257,,0,220,23,3,1837,18,0
1945,10,134,109,1,1,4,7,3,259,,0,229,34,3,1891,18.5,0
1946,10,141,126,1,3,6,7,7,291,,0,258,47,6,2157,18.9,0
1947,10,135,188,6,3,9,12,3,356,,0,329,53,5,2634,22,0
1948,10,151,196,6,4,15,12,5,389,,0,356,45,3,2831,23.2,0
1949,10,159,168,10,1,8,16,3,365,,0,339,62,4,2723,22.5,0
1950,13,208,220,6,6,14,24,1,479,,0,447,80,9,3579,22.9,0
1951,12,175,200,13,2,8,12,1,411,,0,389,98,5,3159,21.9,0
1952,12,147,218,15,6,14,15,4,419,,0,387,95,11,3208,22.3,0
1953,12,169,189,4,2,12,18,3,397,,0,377,108,7,3097,21.5,0
1954,12,152,211,5,6,10,15,1,400,,0,381,119,7,3152,21.9,0
1955,12,166,180,9,4,8,13,2,382,,0,356,115,4,3001,20.8,0
1956,12,179,162,7,5,8,11,1,373,,0,350,113,4,2935,20.4,0
1957,12,159,170,2,3,7,11,2,354,,0,338,128,5,2856,19.8,0
1958,12,176,211,2,8,6,11,2,416,,0,394,119,3,3253,22.6,0
1959,12,159,197,11,1,10,10,2,390,,0,372,116,6,3072,21.3,0
1960,13,161,221,1,3,8,14,2,410,,0,392,163,11,3363,21.6,0
1961,14,205,285,9,5,5,16,1,526,,0,510,179,6,4215,21.5,0
1962,14,213,300,2,5,12,12,4,548,,0,523,180,11,4373,22.3,0
1963,14,190,302,2,9,10,23,1,537,,0,510,188,6,4308,22,0
1964,14,194,278,7,2,19,26,2,528,,0,501,214,4,4319,22,0
1965,14,197,307,6,3,19,28,3,563,,0,538,196,8,4520,23.1,0
1966,15,200,280,6,8,13,31,3,541,,0,521,263,3,4562,21.7,0
